coef_count,max_x,NS_n,loss,a1,a3,a5,a7
2,1,5,0.0028965027346834,1.3841115158473816,-0.2671902722223107,0.0,0.0
2,1,8,0.0251380469952037,-1.1311158653995976,0.0922255598674652,0.0,0.0
3,1,8,0.9985320267886628,0.5201092981621205,-0.2108765830381624,-0.3690283273057524,0.0
3,5,5,2.207645018951518,0.0286589837069186,0.0315341202612193,0.0434006273619926,0.0
3,5,8,7.229993598493689e+36,-0.1393671919225596,-0.1860843086963353,0.6021503327290292,0.0
3,10,5,2662810287609.8794,0.0950290065219316,-0.0953574794695857,0.1656114014030762,0.0
3,10,8,1.5691693303247984e+40,-0.3993819717352558,0.2826286062061118,-0.1012682656330632,0.0
3,20,5,20.0,0.0,0.0,0.0,0.0
3,20,8,inf,8.90449213621936,-8.544592658048042,3.84395668844601,0.0
4,1,5,0.7431272026466629,0.7940247970508114,0.3853451440738258,-0.2307601679147879,0.0298830648532479
4,1,8,1.0,0.0,0.0,0.0,0.0
4,5,5,3.448804164383932e+145,0.2205324042384004,-0.3203608626967131,-0.2221034355807081,-0.4888431366758068
4,5,8,5.0,0.0,0.0,0.0,0.0
4,10,5,8.498816202666931e+139,0.1625440821313626,0.7370841901845262,-0.2083087912696291,-0.0491358884756829
4,10,8,10.0,0.0,0.0,0.0,0.0
4,20,5,inf,-8.905329758014409,0.6455741968320972,6.332173500005904,-7.70572561771133
4,20,8,inf,0.8866748848113026,6.476568097540472,-2.80376564836053,9.157666958058734
2,5,5,3.7935006224690267e-05,0.15389986750136764,0.09196216265572232,0.0,0.0
2,5,8,2.1236929973473874e-05,-0.3732645136518808,-0.0673119189850615,0.0,0.0
2,10,5,0.0007515435393930524,0.2021783122719789,0.025285670227289003,0.0,0.0
2,10,8,0.1982278642947656,0.1175107772328623,-0.2086202714644969,0.0,0.0
2,20,5,0.024869889044693425,0.16951833580431064,0.010364183073988897,0.0,0.0
2,20,8,4.208018919042071,-0.1536972348902212,-0.0383644661799067,0.0,0.0
3,1,5,0.033318223324180274,1.2945473052593854,-0.22975316982859972,-0.013338714265259455,0.0
